"_id","_labels","accepted_answer_id","answer_count","body_markdown","creation_date","display_name","injected","is_accepted","link","name","score","synthlabel","title","updated","uuid","view_count","_start","_end","_type","deleted","updated"
"136918","Question","","0","I tried all day how to query a neo4j Aura DB from a Python Flask application. 
When I run the following code  locally, without starting the server flask, it works

    import dotenv
    import os
    from neo4j import GraphDatabase
    import pandas as pd 
    import time
    import numpy as np
    
    
    load_status = dotenv.load_dotenv(&quot;secrets/Neo4j.txt&quot;)
    if load_status is False
        raise RuntimeError(&#39;Environment variables not loaded.&#39;)
    
    class Neo4jConnection
        def __init__(self, uri, auth)
            self._uri = uri
            self._user = auth[&quot;user&quot;]
            self._password = auth[&quot;password&quot;]
            self._driver = None
    
        def close(self)
            if self._driver is not None
                self._driver.close()
    
        def connect(self)
            self._driver = GraphDatabase.driver(self._uri, auth=(self._user, self._password))
    
        def run_query(self, query, parameters=None)
            with self._driver.session() as session
                result = session.run(query, parameters)
                return result.data()
    
    def get_user_by_proximity(distance, user_position, processed_ids)
        # Configura la tua connessione
        URI = os.getenv(&quot;NEO4J_URI&quot;)
        AUTH = {&quot;user&quot;os.getenv(&quot;NEO4J_USERNAME&quot;),&quot;password&quot; os.getenv(&quot;NEO4J_PASSWORD&quot;)}
    
        # Crea una connessione
        neo4j_connection = Neo4jConnection(URI, AUTH)
        neo4j_connection.connect()
        latitude =  user_position[&#39;latitude&#39;]
        longitude = user_position[&#39;longitude&#39;]
        query = f&quot;&quot;&quot;
                   MATCH (nUser)
                   WHERE point.distance(n.location, point({{latitude {latitude}, longitude{longitude}}}))/1000 &lt;= {distance}
                   AND NOT n.`_id` IN {processed_ids}
                   RETURN n&quot;&quot;&quot;
        result =  neo4j_connection.run_query(query)
        neo4j_connection.close()
        return result

    def get_score()
       &lt;other stuff&gt;

But when I launch the flask server, calling that piece of code, it gives me this error

    from flask import Flask
    from match import *
    
    app = Flask(__name__)
    
    
    user = {&lt;MANY INFO&gt;}
    
    @app.route(&#39;/&#39;)
    def index(userInfo=None)
      group = get_score(user)
      return group

    if __name__ == &#39;__main__&#39;
        app.run(debug=True)
    
    &gt;&gt;&gt;ServiceUnavailable
        neo4j.exceptions.ServiceUnavailable Unable to retrieve routing information


The connection URI begins with the &quot;neo4j+s//...&quot; protocol and I am using a free instance of Aura DB, maybe that is the problem. Is there a way to solve this? 
Thank you ","1707061298","","","","https//stackoverflow.com/q/77936432","","","Question","Neo4j Aura DB connection doesn&#39;t work when a use flask","false","77936432","26",,,,,
"136919","User","","","","","Salvatore Pennisi","","","","","","User","","false","16796768","",,,,,
"136920","Question","77943636","1","I have a query that I&#39;ve been working on. Basically I have two sets of class type nodes, one called Genes and the other n4sch__Class, the Genes have a parameter &#39;GO ID&#39; that links them to the class category name. After getting all matching class nodes I want to create a relationship that is also based on the Gene nodes parameter &#39;Qualifier&#39;, and this parameter is dynamic so I need to use apoc.create.relationship. The query is also rather large so it needs to be batched. This is what I have so far but it is returning an error


`call apoc.periodic.iterate(
&quot;MATCH (nGenes),(cn4sch__Class)
WHERE n.`GO ID` = c.n4sch__name
RETURN n,c&quot;,
&quot;WITH n, c, 
CALL apoc.create.relationship(n, n.Qualifier, {}, c) YIELD rel RETURN rel&quot;,{batchMode &quot;BATCH_SINGLE&quot;, BatchSize100})`

&quot;Invalid input &#39;apoc&#39; expected ...(line 2, column 6 (offset 17))\r\n&quot;CALL apoc.create.relationship(n, n.Qualifier, {}, c) YIELD rel RETURN rel&quot;\r\n      ^&quot; 17","1707016280","","","","https//stackoverflow.com/q/77934488","","","Question","Neo4j complex dynamic relationship creation with batch iteration","false","77934488","46",,,,,
"136921","User","","","","","Yoyo458 A","","","","","","User","","false","17400510","",,,,,
"136922","Question","77928553","1","I have created a transport route of station nodes connected by a CONNECTION type session, if it is a transfer, I have a EXCHANGE session type.
I&#39;m looking for a route using a query

```sql
MATCH path = (fromStation {id 61})-[IN]-&gt;(sec_fromSection),
              (toStation {id 131})&lt;-[OUT]-(sec_toSection),
              route=(sec_from)-[CONNECTION|EXCHANGE*]-&gt;(sec_to)
RETURN route;
```

If I want to search for direct connections only, I use
`route=(sec_from)-[CONNECTION*]-&gt;(sec_to)` , it works. If I want to limit the number of connections to 5-10, I use `route=(sec_from)-[CONNECTION*5..10]-&gt;(sec_to)` also works. But if I want to have a connection of type CONNECTION 1-100 and at the same time type EXCHANGE 0-3, the query doesn&#39;t work

```sql
MATCH path = (fromStation {id 61})-[IN]-&gt;(sec_fromSection),
              (toStation {id 131})&lt;-[OUT]-(sec_toSection),
              route=(sec_from)-[CONNECTION*1..100|EXCHANGE*0..3]-&gt;(sec_to)
RETURN route;
```

What is the correct syntax?

Thanks","1706889004","","","","https//stackoverflow.com/q/77928264","","","Question","How to set number of relations between nodes?","false","77928264","35",,,,,
"136923","User","","","","","Ondra","","","","","","User","","false","5158491","",,,,,
"136924","Question","","0","I am currently working on a project that involves integrating OpenStreetMap (OSM) data into a Neo4j database. I&#39;m wondering if there is a recommended or defined structure for storing OSM data in Neo4j. I want to ensure that the data is organized efficiently and can be easily queried for spatial analysis and retrieve useful information.

At the moment, I&#39;m only working with the library OSMX in Python to retrive information from OpenStreetmap, but the idea is to put spatial information retrived with Python in a Neo4j Database.

I&#39;ve done some research, but I couldn&#39;t find a comprehensive guide or recommendation for structuring OSM data in Neo4j. Any guidance or insights from experienced Neo4j users who have worked with OSM data would be immensely helpful. Thanks in advance!","1706773774","","","","https//stackoverflow.com/q/77918453","","","Question","Storing OpenStreetMap data in Neo4j - Need advice on defined structure","false","77918453","43",,,,,
"136925","User","","","","","Santiago Galiano Segura","","","","","","User","","false","18700741","",,,,,
"136926","Question","","0","We&#39;ve used the vanilla Neo4j Enterprise Edition cloud formation template on AWS.

This installed APOC and GDS for us - great.

However, it didn&#39;t install the jars that some functions need. We are getting this error

&gt; Neo4jError Failed to invoke procedure `apoc.import.json` Caused by apoc.util.MissingDependencyException Cannot find the S3 jars in the plugins folder. 
&gt; Please put these files into the plugins folder 
&gt; 
&gt; aws-java-sdk-core-x.y.z.jar
&gt; aws-java-sdk-s3-x.y.z.jar
&gt; httpclient-x.y.z.jar
&gt; httpcore-x.y.z.jar
&gt; joda-time-x.y.z.jar
&gt; 
&gt; See the documentation https//neo4j.com/docs/apoc/current/import/web-apis/#_using_google_cloud_storage

What is the cleanest way to install these jars across all nodes in the cluster? For now we only have one node, but that may not always be the case.

Thanks!



I expected there to be an easy way to get these plugins installed without needed to ssh into each node and manually install","1706762109","","","","https//stackoverflow.com/q/77917743","","","Question","What is the recommended way to install plugin jars on AWS Neo4j Enterprise Edition","false","77917743","17",,,,,
"136927","User","","","","","Jonah Turnquist","","","","","","User","","false","20883169","",,,,,
"136928","Question","","0","I am in the process creating vector index for an existing graph db.

I created a vector index following this  [Vector search indexes - Cypher Manual][1]

Next using python SDK , I traverse the nodes and get the vector-embeddings for the target attribute (by calling VertexAI vector-embeddings API)

Now I want to set the retrieved vector into the node using  [Vector search indexes - Cypher Manual][2]

My question is, how can I do this using the Python SDK ?


  [1] https//neo4j.com/docs/cypher-manual/current/indexes/semantic-indexes/vector-indexes/?_ga=2.14191475.572054530.1706656777-1759812782.1706656777#indexes-vector-create
  [2] https//neo4j.com/docs/cypher-manual/current/indexes/semantic-indexes/vector-indexes/?_ga=2.14191475.572054530.1706656777-1759812782.1706656777#indexes-vector-set","1706656885","","","","https//stackoverflow.com/q/77909966","","","Question","neo4j  Setting vector embedding to the node using the python SDK","false","77909966","19",,,,,
"136929","User","","","","","Ashika Umanga Umagiliya","","","","","","User","","false","180904","",,,,,
"136930","Question","","0","I  tried everything, switching keyboards, using virtual keyboard, copy and paste, but the shell won&#39;t in any way, on windows 10, display or recognize curly bracket. I don&#39;t know why. I tried to see if there were shortcuts that could interfere but nothing. Other symbols seem to work!","1706629310","","","","https//stackoverflow.com/q/77907579","","","Question","Neo4J Cypher Shell won&#39;t use curly brackets in any way","false","77907579","20",,,,,
"136931","User","","","","","Idkwhatywantmed","","","","","","User","","false","18542427","",,,,,
"136932","Question","","2","I have a Neo4j schema with a 1-n relation

```haskhell
// a concept might have multiple accessions
(Concept{name}) - [hasAccession] -&gt; (Accession{code, source})
```

I&#39;d like to create a &#39;nameOrAccession&#39; full-text index (ie, to support both speed and Lucene syntax like &quot;&#39;Computer Science&#39; OR &#39;CS00*&#39;&quot;), which should find nodes based on the `name` property or `Accession.code` property.

I know I could achieve this by creating two full-text indexes, one for `Concept.name` and the other for `Accession.code`, and then I could combine the two in a single `UNION` query.

But is it possible to simplify the query side by creating one index only? Ie, one that is about a &#39;top&#39; (or &#39;central&#39;, or alike) node and would include properties from related nodes?

My understanding is it isn&#39;t possible, but I&#39;d like to check if I&#39;m missing something.

**EDIT** I also know I could include multiple node labels in the same index (`CREATE FULLTEXT INDEX ... FOR (nConcept|Accession)...`), but that&#39;s not what I want, since this kind of index would find both concepts and accessions, while I want a query that finds concepts only, possibly based on their accession codes).","1706628406","","","","https//stackoverflow.com/q/77907493","","","Question","Neo4j Full text Index that includes properties from a 1-n node","false","77907493","29",,,,,
"136933","User","","","","","zakmck","","","","","","User","","false","529286","",,,,,
"136934","Question","","0","I am using neo4j C# driver version 5.14.0 and I am getting a Method Not Found exception when executing the following code



    await session.ExecuteWriteAsync(async tx =&gt;
    {
        var updateCypher = @&quot;
            unwind $itemsArr as war
            merge (wNodeA {uuidwar.Uuid})
            on match set w.durationmins=war.DurationMins,w.lastseen=0,w.new=null
            on create set w.durationmins=war.DurationMins,w.subtype=war.SubType,w.mtype=war.Type,w.new=&#39;Y&#39;,w.lastseen=0
            return count(w) as cnt
        &quot;;
    
        await tx.RunAsync(updateCypher, new { itemsArr = myItems });
        
        var uniqueIdCursor = await tx.RunAsync(&quot;match (wNodeA) where not  (w)-[]-(NodeB) and w.new = &#39;Y&#39; return w.uuid&quot;);  
    
        var uniqueIdList = await uniqueIdCursor.ToListAsync();
        var uniqueIds = uniqueIdList.Select(x =&gt; x[&quot;w.uuid&quot;].As&lt;string&gt;()).ToList();
        return uniqueIds
    }

&gt; Exception System.MissingMethodException Method not found
&gt; &#39;System.Threading.Tasks.Task`1&lt;System.Collections.Generic.List`1&lt;Neo4j.Driver.IRecord&gt;&gt;
&gt; Neo4j.Driver.ResultCursorExtensions.ToListAsync(Neo4j.Driver.IResultCursor)&#39;.

However, if I replace the last three lines of code with this I get no error

    List&lt;string&gt; uniqueIds = [];
    
    while (await uniqueIdCursor.FetchAsync())
    {
        var uniqueId = uniqueIdCursor.Current[0].ToString();
        uniqueIds.Add(uniqueId);
    }
    
    return uniqueIds;

I do not understand why in this scenario ToListAsync() is not available to IResultCursor","1706626400","","","","https//stackoverflow.com/q/77907255","","","Question","Neo4j C# Driver Method Not Found when calling ToListAsync()","false","77907255","20",,,,,
"136935","User","","","","","paddingtonMike","","","","","","User","","false","472603","",,,,,
"136936","Question","77912146","1","I would to store the following structure in a Neo4J database which has the embedded object oweMe and soldFor are of class Payment.

```
{
  &quot;id&quot;&quot;id23&quot;,
  &quot;oweMe&quot; {
    &quot;cost&quot; 23
    &quot;currency&quot;&quot;USD&quot;
  }
  &quot;soldFor&quot; {
    &quot;cost&quot; 34
    &quot;currency&quot;&quot;EUR&quot;
  }
}
```

In spring boot, I can use the @embedded and @Embeddable annotations with the JPArespository on an H2 database and it works perfectly.

I want to repeat this structure but store it in a Neo4J database. As the Neo4j does not support the JPARepositry I cannot use those annotations however I see that it uses the @NodeEntity and @Property/@Properties to achieve the same result according to the reference material. 

The reference documentation shows an example that looks like the following where the address is prefixed to the embedded object properties.
```
address.street=Downing Street
address.number=10
```


Thanks everyone for your help,

However when I run the app, I get an error saying `&quot;Required identifier property not found for class ... Payment&quot;` and refers to the embedded object. While that is true that there is no @Id for the embedded object, as the embedded object is not a List&lt;&gt; and there is no @Node/@NodeEntity definition, I expected that should not be needing an id. 

While I can overcome this by writing custom getters and setters to serialise the embedded object so that it can be stored as a JSON string, that has become overwhelming.

As I expect that this sort of embedding is done all the time, can someone please point me to an example that I can use?","1706587190","","","","https//stackoverflow.com/q/77903829","","","Question","How to define in spring model to embed an object using Neo4j","false","77903829","26",,,,,
"136937","User","","","","","PeterNz","","","","","","User","","false","12787705","",,,,,
"136938","Question","77903083","1","I stumbled on the following syntax for setting labels during a `LOAD CSV` operation in Neo4j with Cypher.  It works but I don&#39;t understand *why*, and all of the following modifications break it
- Removing any of the `YIELD` statements
- Changing `YIELD node` to `YIELD node2` or any other name on the 2nd and 3rd `YIELD` statements
- Removing any of the repeated `WITH n,row` statements between the `YIELD` statements
- Adding `UNION` between the calls (at least, I couldn&#39;t get it to work)

Can anyone enlighten me?  I&#39;m a relative newcomer to Cypher and APOC and I&#39;d love to understand how to make repeated APOC calls properly. 
 
```cypher
LOAD CSV WITH HEADERS FROM &#39;file///myfile.csv&#39; AS row
MERGE (nPerson{idrow.ID,namerow.Name}) 
WITH n,row
CALL apoc.create.addLabels(id(n), [row.Title,row.Position] YIELD node
WITH n,row
CALL apoc.create.addLabels(id(n), split(row.Roles, &#39;,&#39;)) YIELD node 
WITH n,row
CALL apoc.create.addLabels(id(n), split(row.Aliases, &#39;,&#39;)) YIELD node
```


","1706565665","","","","https//stackoverflow.com/q/77902863","","","Question","How to stack consecutive APOC statements in Neo4j Cypher","false","77902863","26",,,,,
"136939","User","","","","","John","","","","","","User","","false","3091286","",,,,,
"136940","Question","","2","please help me build the cypher

I have a NODES label Station and they are connected using a directional relation Line, where the Line property is e.g. the line number. NODES are multiple connected by different lines (with Line_ID property). I need a query about the route from Station A (e.g. id=1) to Station B (id=25), via the Line session, but in such a way that multiple variants are offered, but each variant must have the same Line_ID in the session.
My query loops or &quot;skips&quot; during the search to a session with a different LINE_ID than the previous one. Thanks for advice!","1706547907","","","","https//stackoverflow.com/q/77901438","","","Question","Search route in NEO4J","false","77901438","41",,,,,
"136941","Question","","0","his isn&#39;t working after I press the confirm button. I installed Java JDK and set the correct path in the environment variables, but it keeps showing this error repeatedly. I&#39;ve tried my best to resolve this issue, but unfortunately, I wasn&#39;t able to fix it. I&#39;m attempting to provide the path for Neo4j, but unfortunately, it&#39;s not running after doing so","1706542132","","","","https//stackoverflow.com/q/77900793","","","Question","Neo4j is not running after putting the right path","false","77900793","13",,,,,
"136942","User","","","","","Ubair Noor","","","","","","User","","false","23315781","",,,,,
"136943","Question","77900287","1","I am trying to write a Cypher statement, which manages the creation and relationships of tag nodes according to a given list of tag names for an item.

Example calling parameters
```json
{
  itemId &quot;foo&quot;,
  tagNames [&quot;Tag1&quot;, &quot;Tag2&quot;, &quot;Tag3&quot;]
}
```

This is the Cypher statement
```Cypher
MATCH (iItem {id $itemId})

OPTIONAL MATCH (i)-[previousRelationshasTag]-&gt;(Tag)
DELETE previousRelations
	
WITH *
CALL {
	UNWIND $tagNames as tagName

	MERGE (tagTag {name tagName})
	ON CREATE SET tag.id = randomUUID(), tag.createdAt = datetime()

	RETURN tag
}

MERGE (i)-[hasTag]-&gt;(tag)

RETURN i
```

The tag node creation and assignment works all fine!

My problem lies in the `RETURN i` statement if my `$tagNames` list is empty (`[]`). In this case the statement returns *NULL* instead of `i` but I need it to always return `i`.

I also tried the &quot;FOREACH-Trick&quot; as suggested here https//stackoverflow.com/a/27578798/5106474

```
    FOREACH(ignoreMe IN CASE WHEN tag IS NOT NULL THEN [1] ELSE [] END |
		MERGE (i)-[hasTag]-&gt;(tag)
    )
```

But still, same behaviour.

Thanks in advance for any suggestions!","1706533471","","","","https//stackoverflow.com/q/77899930","","","Question","UNWIND an empty list negatively affects outer RETURN statement","false","77899930","47",,,,,
"136944","User","","","","","PhilJay","","","","","","User","","false","5106474","",,,,,
"136945","Question","","0","Hello fellow programmers,

I&#39;m new to graph databases and I was wondering whether my approach was optimal or there is room for improvement.

I have a tree-like structure that changes a lot and I need to store it in my graph database.

For example

![this image][1]

I receive updates in this form

```
{
   path=&quot;2/5/9/4&quot; 
   value=&quot;example&quot;
}
```

Currently, the leaves hold the values as they change over time, and ancestor nodes store the path

```
merge (aA {label 2})-[NEXT]-&gt;(bB {label5})
merge (b)-[NEXT]-&gt;(cC {label9})
merge (c)-[NEXT]-&gt;(dD {label4})

on create set d.values = [&quot;example&quot;]
on match set d.values = d.values + &quot;example&quot;
```

Is there a more sophisticated/efficient solution?


  [1] https//i.stack.imgur.com/WG1Dx.png","1706523352","","","","https//stackoverflow.com/q/77898928","","","Question","Query speed optimalization (neo4j)","false","77898928","33",,,,,
"136946","User","","","","","Peter Vecera","","","","","","User","","false","23007772","",,,,,
"136947","Question","","0","I&#180;m trying to figure out how to create a `Node.js` app that fetches data from a `Neo4j` database (currently, I will need only the relationships between nodes), and from a `MongoDB` (all the properties). A property in the `MongoDB` takes the Id-number of the nodes in the `Neo4J` database.


","1706522581","","","","https//stackoverflow.com/q/77898854","","","Question","Retrieve data from a Neo4J and a MongoDB","false","77898854","21",,,,,
"136948","User","","","","","Artur","","","","","","User","","false","15265346","",,,,,
"136949","Question","77897011","1","I use the following code in order to automatically introspect the existent Neo4j schema

    import { toGraphQLTypeDefs } from &quot;@neo4j/introspector&quot;;
    import fs from &quot;fs&quot;;
    import neo4j from &quot;neo4j-driver&quot;;
    
    const driver = neo4j.driver(
        &quot;neo4j//localhost7687&quot;,
        neo4j.auth.basic(&quot;neo4j&quot;, &quot;neo4j&quot;)
    );
    
    const sessionFactory = () =&gt; driver.session({ defaultAccessMode neo4j.session.READ })
    
    async function main() {
        const typeDefs = await toGraphQLTypeDefs(sessionFactory)
        fs.writeFileSync(&#39;schema.graphql&#39;, typeDefs)
        await driver.close();
    }
    main()


On the existent Neo4j database it produces the following

    type BaseEntity10 @node(labels [&quot;BaseEntity&quot;, &quot;CompanyType&quot;, &quot;CompositeEntity&quot;, &quot;Requirable&quot;]) {
    	baseEntity16SCompanyTypeOf [BaseEntity16!]! @relationship(type &quot;COMPANY_TYPE_OF&quot;, direction IN)
    	createdAt BigInt!
    	createdByBaseEntity4S [BaseEntity4!]! @relationship(type &quot;CREATED_BY&quot;, direction OUT)
    	id BigInt!
    	lowerName String!
    	name String!
    	nameSlug String!
    	properties.lowerNameMonolithic String!
    	properties.lowerNameWhitespace String!
    	status String!
    	system Boolean!
    	updatedAt BigInt!
    	uuid String!
    }

The issue is with the following definitions

	properties.lowerNameMonolithic String!
	properties.lowerNameWhitespace String!

In the https//graphql-toolbox.neo4j.io/ when I try to build this schema, I receive the error

    Syntax Error Unexpected character &quot;.&quot;.
    Locations [{&quot;line&quot;24,&quot;column&quot;12}]

How to properly introspect existing properties with names separated by a dot?","1706440447","","","","https//stackoverflow.com/q/77894562","","","Question","Neo4j GraphQL library schema instrospector wtih property names separated by a dot","false","77894562","25",,,,,
"136950","User","","","","","alexanoid","","","","","","User","","false","1219755","",,,,,
"136951","Question","77894062","1","I need to get JSON-tree of the hierarchy (or some hierarchies, if there is different roots for this pattern - as ```ps``` in my example is list of paths) that I could achieve by
```
MATCH p=(parent)-[metaClassOf*]-&gt;(child)
WHERE NOT (parent)&lt;-[metaClassOf]-()
WITH COLLECT(p) AS ps
CALL apoc.convert.toTree(ps) yield value
RETURN value;
```
If I need to query only part of the hierarchy, I could specify the desired leaf to act as a root in my query
```
MATCH (root {name &quot;The Root Name&quot;})
MATCH p=(root)-[metaClassOf*]-&gt;(child)
WHERE NOT (root)&lt;-[metaClassOf]-()
WITH COLLECT(p) AS ps
CALL apoc.convert.toTree(ps) yield value
RETURN value;
```
But how do I exclude the ```root``` node itself from the last query, as I don&#39;t want it to be in final JSON-tree? I will repeat, I need the list of paths that are coming from the root node, but without this root node and then convert them to JSON-tree.

I can&#39;t achieve that by filtering nodes after ```UNWIND``` the paths, as I don&#39;t know how to combine them back to list of paths to be able to use ```apoc.convert.toTree(ps)``` then
```
MATCH (root {name &quot;The Root Name&quot;})
MATCH p=(root)-[metaClassOf*]-&gt;(C_Child)
WHERE NOT (root)&lt;-[metaClassOf]-()
UNWIND nodes(p) as ns
WITH ns as nss
WHERE NOT nss.name= The Root Name&quot;
return nss
```","1706427237","","","","https//stackoverflow.com/q/77893974","","","Question","How to query hierarchy paths without the root node (as list of paths)","false","77893974","27",,,,,
"136952","User","","","","","Roman March","","","","","","User","","false","10578649","",,,,,
"136953","Question","77893238","1","I&#39;m considering using the Neo4j GraphQL library and have the following question - am I correct in understanding that I can use Neo4j GraphQL Type definitions to automatically generate not only the Neo4j GraphQL API but also the schema for my Neo4j database itself?

I&#39;d like to use Neo4j GraphQL Type definitions as my entry point to both - DB schema and GraphQL API automatic creation.

In the documentation for the Neo4j GraphQL library, I see the ability to declare @Id, indexes, and constraints. But how about initial data - for example, if I need to declare a `Movie` type using Type definitions, can I also immediately add (CREATE) 10 movies with specific predefined names? Can I create such initial data, such as nodes, relationships, and properties, directly in Neo4j GraphQL Type definitions? If so, please guide me on how to do it.","1706367211","","","","https//stackoverflow.com/q/77891598","","","Question","Neo4j GraphQL library First Development approach","false","77891598","23",,,,,
