"_id","_labels","MGLT","average_height","average_lifespan","birth_year","cargo_capacity","classification","climate","consumables","cost_in_credits","created","crew","designation","diameter","director","edited","episode_id","eye_color","eye_colors","gender","gravity","hair_color","hair_colors","height","hyperdrive_rating","injected","language","length","manufacturer","mass","max_atmosphering_speed","model","name","opening_crawl","orbital_period","passengers","population","producer","release_date","rotation_period","skin_color","skin_colors","starship_class","surface_water","synthlabel","terrain","title","updated","url","vehicle_class","_start","_end","_type","deleted","updated"
"38239",":Character","","","","41.9BBY","","","","","","2014-12-10T15:18:20.704000Z","","","","","2014-12-20T21:17:50.313000Z","","yellow","","male","","none","","202","","","","","","136","","","Darth Vader","","","","","","","","white","","","","Character","","","false","http://swapi.co/api/people/4/","",,,,,
"38240",":Character","","","","19BBY","","","","","","2014-12-10T15:20:09.791000Z","","","","","2014-12-20T21:17:50.315000Z","","brown","","female","","brown","","150","","","","","","49","","","Leia Organa","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/5/","",,,,,
"38241",":Character","","","","52BBY","","","","","","2014-12-10T15:52:14.024000Z","","","","","2014-12-20T21:17:50.317000Z","","blue","","male","","brown, grey","","178","","","","","","120","","","Owen Lars","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/6/","",,,,,
"38242",":Character","","","","47BBY","","","","","","2014-12-10T15:53:41.121000Z","","","","","2014-12-20T21:17:50.319000Z","","blue","","female","","brown","","165","","","","","","75","","","Beru Whitesun lars","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/7/","",,,,,
"38243",":Character","","","","unknown","","","","","","2014-12-10T15:57:50.959000Z","","","","","2014-12-20T21:17:50.321000Z","","red","","n/a","","n/a","","97","","","","","","32","","","R5-D4","","","","","","","","white, red","","","","Character","","","false","http://swapi.co/api/people/8/","",,,,,
"38244",":Character","","","","24BBY","","","","","","2014-12-10T15:59:50.509000Z","","","","","2014-12-20T21:17:50.323000Z","","brown","","male","","black","","183","","","","","","84","","","Biggs Darklighter","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/9/","",,,,,
"38245",":Character","","","","57BBY","","","","","","2014-12-10T16:16:29.192000Z","","","","","2014-12-20T21:17:50.325000Z","","blue-gray","","male","","auburn, white","","182","","","","","","77","","","Obi-Wan Kenobi","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/10/","",,,,,
"38246",":Character","","","","41.9BBY","","","","","","2014-12-10T16:20:44.310000Z","","","","","2014-12-20T21:17:50.327000Z","","blue","","male","","blond","","188","","","","","","84","","","Anakin Skywalker","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/11/","",,,,,
"38247",":Character","","","","64BBY","","","","","","2014-12-10T16:26:56.138000Z","","","","","2014-12-20T21:17:50.330000Z","","blue","","male","","auburn, grey","","180","","","","","","unknown","","","Wilhuff Tarkin","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/12/","",,,,,
"38248",":Character","","","","200BBY","","","","","","2014-12-10T16:42:45.066000Z","","","","","2014-12-20T21:17:50.332000Z","","blue","","male","","brown","","228","","","","","","112","","","Chewbacca","","","","","","","","unknown","","","","Character","","","false","http://swapi.co/api/people/13/","",,,,,
"38249",":Character","","","","29BBY","","","","","","2014-12-10T16:49:14.582000Z","","","","","2014-12-20T21:17:50.334000Z","","brown","","male","","brown","","180","","","","","","80","","","Han Solo","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/14/","",,,,,
"38250",":Character","","","","44BBY","","","","","","2014-12-10T17:03:30.334000Z","","","","","2014-12-20T21:17:50.336000Z","","black","","male","","n/a","","173","","","","","","74","","","Greedo","","","","","","","","green","","","","Character","","","false","http://swapi.co/api/people/15/","",,,,,
"38251",":Character","","","","600BBY","","","","","","2014-12-10T17:11:31.638000Z","","","","","2014-12-20T21:17:50.338000Z","","orange","","hermaphrodite","","n/a","","175","","","","","","1,358","","","Jabba Desilijic Tiure","","","","","","","","green-tan, brown","","","","Character","","","false","http://swapi.co/api/people/16/","",,,,,
"38252",":Character","","","","21BBY","","","","","","2014-12-12T11:08:06.469000Z","","","","","2014-12-20T21:17:50.341000Z","","hazel","","male","","brown","","170","","","","","","77","","","Wedge Antilles","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/18/","",,,,,
"38253",":Character","","","","unknown","","","","","","2014-12-12T11:16:56.569000Z","","","","","2014-12-20T21:17:50.343000Z","","blue","","male","","brown","","180","","","","","","110","","","Jek Tono Porkins","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/19/","",,,,,
"38254",":Character","","","","896BBY","","","","","","2014-12-15T12:26:01.042000Z","","","","","2014-12-20T21:17:50.345000Z","","brown","","male","","white","","66","","","","","","17","","","Yoda","","","","","","","","green","","","","Character","","","false","http://swapi.co/api/people/20/","",,,,,
"38255",":Character","","","","82BBY","","","","","","2014-12-15T12:48:05.971000Z","","","","","2014-12-20T21:17:50.347000Z","","yellow","","male","","grey","","170","","","","","","75","","","Palpatine","","","","","","","","pale","","","","Character","","","false","http://swapi.co/api/people/21/","",,,,,
"38256",":Character","","","","31.5BBY","","","","","","2014-12-15T12:49:32.457000Z","","","","","2014-12-20T21:17:50.349000Z","","brown","","male","","black","","183","","","","","","78.2","","","Boba Fett","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/22/","",,,,,
"38257",":Character","","","","15BBY","","","","","","2014-12-15T12:51:10.076000Z","","","","","2014-12-20T21:17:50.351000Z","","red","","none","","none","","200","","","","","","140","","","IG-88","","","","","","","","metal","","","","Character","","","false","http://swapi.co/api/people/23/","",,,,,
"38258",":Character","","","","53BBY","","","","","","2014-12-15T12:53:49.297000Z","","","","","2014-12-20T21:17:50.355000Z","","red","","male","","none","","190","","","","","","113","","","Bossk","","","","","","","","green","","","","Character","","","false","http://swapi.co/api/people/24/","",,,,,
"38259",":Character","","","","31BBY","","","","","","2014-12-15T12:56:32.683000Z","","","","","2014-12-20T21:17:50.357000Z","","brown","","male","","black","","177","","","","","","79","","","Lando Calrissian","","","","","","","","dark","","","","Character","","","false","http://swapi.co/api/people/25/","",,,,,
"38260",":Character","","","","37BBY","","","","","","2014-12-15T13:01:57.178000Z","","","","","2014-12-20T21:17:50.359000Z","","blue","","male","","none","","175","","","","","","79","","","Lobot","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/26/","",,,,,
"38261",":Character","","","","41BBY","","","","","","2014-12-18T11:07:50.584000Z","","","","","2014-12-20T21:17:50.362000Z","","orange","","male","","none","","180","","","","","","83","","","Ackbar","","","","","","","","brown mottle","","","","Character","","","false","http://swapi.co/api/people/27/","",,,,,
"38262",":Character","","","","48BBY","","","","","","2014-12-18T11:12:38.895000Z","","","","","2014-12-20T21:17:50.364000Z","","blue","","female","","auburn","","150","","","","","","unknown","","","Mon Mothma","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/28/","",,,,,
"38263",":Character","","","","unknown","","","","","","2014-12-18T11:16:33.020000Z","","","","","2014-12-20T21:17:50.367000Z","","brown","","male","","brown","","unknown","","","","","","unknown","","","Arvel Crynyd","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/29/","",,,,,
"38264",":Character","","","","8BBY","","","","","","2014-12-18T11:21:58.954000Z","","","","","2014-12-20T21:17:50.369000Z","","brown","","male","","brown","","88","","","","","","20","","","Wicket Systri Warrick","","","","","","","","brown","","","","Character","","","false","http://swapi.co/api/people/30/","",,,,,
"38265",":Character","","","","unknown","","","","","","2014-12-18T11:26:18.541000Z","","","","","2014-12-20T21:17:50.371000Z","","black","","male","","none","","160","","","","","","68","","","Nien Nunb","","","","","","","","grey","","","","Character","","","false","http://swapi.co/api/people/31/","",,,,,
"38266",":Character","","","","92BBY","","","","","","2014-12-19T16:54:53.618000Z","","","","","2014-12-20T21:17:50.375000Z","","blue","","male","","brown","","193","","","","","","89","","","Qui-Gon Jinn","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/32/","",,,,,
"38267",":Character","","","","unknown","","","","","","2014-12-19T17:05:57.357000Z","","","","","2014-12-20T21:17:50.377000Z","","red","","male","","none","","191","","","","","","90","","","Nute Gunray","","","","","","","","mottled green","","","","Character","","","false","http://swapi.co/api/people/33/","",,,,,
"38268",":Character","","","","91BBY","","","","","","2014-12-19T17:21:45.915000Z","","","","","2014-12-20T21:17:50.379000Z","","blue","","male","","blond","","170","","","","","","unknown","","","Finis Valorum","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/34/","",,,,,
"38269",":Character","","","","52BBY","","","","","","2014-12-19T17:29:32.489000Z","","","","","2014-12-20T21:17:50.383000Z","","orange","","male","","none","","196","","","","","","66","","","Jar Jar Binks","","","","","","","","orange","","","","Character","","","false","http://swapi.co/api/people/36/","",,,,,
"38270",":Character","","","","unknown","","","","","","2014-12-19T17:32:56.741000Z","","","","","2014-12-20T21:17:50.385000Z","","orange","","male","","none","","224","","","","","","82","","","Roos Tarpals","","","","","","","","grey","","","","Character","","","false","http://swapi.co/api/people/37/","",,,,,
"38271",":Character","","","","unknown","","","","","","2014-12-19T17:33:38.909000Z","","","","","2014-12-20T21:17:50.388000Z","","orange","","male","","none","","206","","","","","","unknown","","","Rugor Nass","","","","","","","","green","","","","Character","","","false","http://swapi.co/api/people/38/","",,,,,
"38272",":Character","","","","unknown","","","","","","2014-12-19T17:45:01.522000Z","","","","","2014-12-20T21:17:50.392000Z","","blue","","male","","brown","","183","","","","","","unknown","","","Ric Olié","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/39/","",,,,,
"38273",":Character","","","","unknown","","","","","","2014-12-19T17:48:54.647000Z","","","","","2014-12-20T21:17:50.395000Z","","yellow","","male","","black","","137","","","","","","unknown","","","Watto","","","","","","","","blue, grey","","","","Character","","","false","http://swapi.co/api/people/40/","",,,,,
"38274",":Character","","","","unknown","","","","","","2014-12-19T17:53:02.586000Z","","","","","2014-12-20T21:17:50.397000Z","","orange","","male","","none","","112","","","","","","40","","","Sebulba","","","","","","","","grey, red","","","","Character","","","false","http://swapi.co/api/people/41/","",,,,,
"38275",":Character","","","","62BBY","","","","","","2014-12-19T17:55:43.348000Z","","","","","2014-12-20T21:17:50.399000Z","","brown","","male","","black","","183","","","","","","unknown","","","Quarsh Panaka","","","","","","","","dark","","","","Character","","","false","http://swapi.co/api/people/42/","",,,,,
"38276",":Character","","","","72BBY","","","","","","2014-12-19T17:57:41.191000Z","","","","","2014-12-20T21:17:50.401000Z","","brown","","female","","black","","163","","","","","","unknown","","","Shmi Skywalker","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/43/","",,,,,
"38277",":Character","","","","54BBY","","","","","","2014-12-19T18:00:41.929000Z","","","","","2014-12-20T21:17:50.403000Z","","yellow","","male","","none","","175","","","","","","80","","","Darth Maul","","","","","","","","red","","","","Character","","","false","http://swapi.co/api/people/44/","",,,,,
"38278",":Character","","","","unknown","","","","","","2014-12-20T09:47:02.512000Z","","","","","2014-12-20T21:17:50.407000Z","","pink","","male","","none","","180","","","","","","unknown","","","Bib Fortuna","","","","","","","","pale","","","","Character","","","false","http://swapi.co/api/people/45/","",,,,,
"38279",":Character","","","","48BBY","","","","","","2014-12-20T09:48:01.172000Z","","","","","2014-12-20T21:17:50.409000Z","","hazel","","female","","none","","178","","","","","","55","","","Ayla Secura","","","","","","","","blue","","","","Character","","","false","http://swapi.co/api/people/46/","",,,,,
"38280",":Character","","","","unknown","","","","","","2014-12-20T09:57:31.858000Z","","","","","2014-12-20T21:17:50.414000Z","","yellow","","male","","none","","94","","","","","","45","","","Dud Bolt","","","","","","","","blue, grey","","","","Character","","","false","http://swapi.co/api/people/48/","",,,,,
"38281",":Character","","","","unknown","","","","","","2014-12-20T10:02:12.223000Z","","","","","2014-12-20T21:17:50.416000Z","","black","","male","","none","","122","","","","","","unknown","","","Gasgano","","","","","","","","white, blue","","","","Character","","","false","http://swapi.co/api/people/49/","",,,,,
"38282",":Character","","","","unknown","","","","","","2014-12-20T10:08:33.777000Z","","","","","2014-12-20T21:17:50.417000Z","","orange","","male","","none","","163","","","","","","65","","","Ben Quadinaros","","","","","","","","grey, green, yellow","","","","Character","","","false","http://swapi.co/api/people/50/","",,,,,
"38283",":Character","","","","72BBY","","","","","","2014-12-20T10:12:30.846000Z","","","","","2014-12-20T21:17:50.420000Z","","brown","","male","","none","","188","","","","","","84","","","Mace Windu","","","","","","","","dark","","","","Character","","","false","http://swapi.co/api/people/51/","",,,,,
"38284",":Character","","","","92BBY","","","","","","2014-12-20T10:15:32.293000Z","","","","","2014-12-20T21:17:50.422000Z","","yellow","","male","","white","","198","","","","","","82","","","Ki-Adi-Mundi","","","","","","","","pale","","","","Character","","","false","http://swapi.co/api/people/52/","",,,,,
"38285",":Character","","","","unknown","","","","","","2014-12-20T10:18:57.202000Z","","","","","2014-12-20T21:17:50.424000Z","","black","","male","","none","","196","","","","","","87","","","Kit Fisto","","","","","","","","green","","","","Character","","","false","http://swapi.co/api/people/53/","",,,,,
"38286",":Character","","","","unknown","","","","","","2014-12-20T10:26:47.902000Z","","","","","2014-12-20T21:17:50.427000Z","","brown","","male","","black","","171","","","","","","unknown","","","Eeth Koth","","","","","","","","brown","","","","Character","","","false","http://swapi.co/api/people/54/","",,,,,
"38287",":Character","","","","unknown","","","","","","2014-12-20T10:29:11.661000Z","","","","","2014-12-20T21:17:50.432000Z","","blue","","female","","none","","184","","","","","","50","","","Adi Gallia","","","","","","","","dark","","","","Character","","","false","http://swapi.co/api/people/55/","",,,,,
"38288",":Character","","","","unknown","","","","","","2014-12-20T10:32:11.669000Z","","","","","2014-12-20T21:17:50.434000Z","","orange","","male","","none","","188","","","","","","unknown","","","Saesee Tiin","","","","","","","","pale","","","","Character","","","false","http://swapi.co/api/people/56/","",,,,,
"38289",":Character","","","","unknown","","","","","","2014-12-20T10:34:48.725000Z","","","","","2014-12-20T21:17:50.437000Z","","yellow","","male","","none","","264","","","","","","unknown","","","Yarael Poof","","","","","","","","white","","","","Character","","","false","http://swapi.co/api/people/57/","",,,,,
"38290",":Character","","","","22BBY","","","","","","2014-12-20T10:49:19.859000Z","","","","","2014-12-20T21:17:50.439000Z","","black","","male","","none","","188","","","","","","80","","","Plo Koon","","","","","","","","orange","","","","Character","","","false","http://swapi.co/api/people/58/","",,,,,
"38291",":Character","","","","unknown","","","","","","2014-12-20T10:53:26.457000Z","","","","","2014-12-20T21:17:50.442000Z","","blue","","male","","none","","196","","","","","","unknown","","","Mas Amedda","","","","","","","","blue","","","","Character","","","false","http://swapi.co/api/people/59/","",,,,,
"38292",":Character","","","","unknown","","","","","","2014-12-20T11:10:10.381000Z","","","","","2014-12-20T21:17:50.445000Z","","brown","","male","","black","","185","","","","","","85","","","Gregar Typho","","","","","","","","dark","","","","Character","","","false","http://swapi.co/api/people/60/","",,,,,
"38293",":Character","","","","unknown","","","","","","2014-12-20T11:11:39.630000Z","","","","","2014-12-20T21:17:50.449000Z","","brown","","female","","brown","","157","","","","","","unknown","","","Cordé","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/61/","",,,,,
"38294",":Character","","","","82BBY","","","","","","2014-12-20T15:59:03.958000Z","","","","","2014-12-20T21:17:50.451000Z","","blue","","male","","brown","","183","","","","","","unknown","","","Cliegg Lars","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/62/","",,,,,
"38295",":Character","","","","unknown","","","","","","2014-12-20T16:40:43.977000Z","","","","","2014-12-20T21:17:50.453000Z","","yellow","","male","","none","","183","","","","","","80","","","Poggle the Lesser","","","","","","","","green","","","","Character","","","false","http://swapi.co/api/people/63/","",,,,,
"38296",":Character","","","","58BBY","","","","","","2014-12-20T16:45:53.668000Z","","","","","2014-12-20T21:17:50.455000Z","","blue","","female","","black","","170","","","","","","56.2","","","Luminara Unduli","","","","","","","","yellow","","","","Character","","","false","http://swapi.co/api/people/64/","",,,,,
"38297",":Character","","","","40BBY","","","","","","2014-12-20T16:46:40.440000Z","","","","","2014-12-20T21:17:50.457000Z","","blue","","female","","black","","166","","","","","","50","","","Barriss Offee","","","","","","","","yellow","","","","Character","","","false","http://swapi.co/api/people/65/","",,,,,
"38298",":Character","","","","unknown","","","","","","2014-12-20T16:49:14.640000Z","","","","","2014-12-20T21:17:50.460000Z","","brown","","female","","brown","","165","","","","","","unknown","","","Dormé","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/66/","",,,,,
"38299",":Character","","","","102BBY","","","","","","2014-12-20T16:52:14.726000Z","","","","","2014-12-20T21:17:50.462000Z","","brown","","male","","white","","193","","","","","","80","","","Dooku","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/67/","",,,,,
"38300",":Character","","","","67BBY","","","","","","2014-12-20T16:53:08.575000Z","","","","","2014-12-20T21:17:50.463000Z","","brown","","male","","black","","191","","","","","","unknown","","","Bail Prestor Organa","","","","","","","","tan","","","","Character","","","false","http://swapi.co/api/people/68/","",,,,,
"38301",":Character","","","","66BBY","","","","","","2014-12-20T16:54:41.620000Z","","","","","2014-12-20T21:17:50.465000Z","","brown","","male","","black","","183","","","","","","79","","","Jango Fett","","","","","","","","tan","","","","Character","","","false","http://swapi.co/api/people/69/","",,,,,
"38302",":Character","","","","unknown","","","","","","2014-12-20T16:57:44.471000Z","","","","","2014-12-20T21:17:50.468000Z","","yellow","","female","","blonde","","168","","","","","","55","","","Zam Wesell","","","","","","","","fair, green, yellow","","","","Character","","","false","http://swapi.co/api/people/70/","",,,,,
"38303",":Character","","","","unknown","","","","","","2014-12-20T17:28:27.248000Z","","","","","2014-12-20T21:17:50.470000Z","","yellow","","male","","none","","198","","","","","","102","","","Dexter Jettster","","","","","","","","brown","","","","Character","","","false","http://swapi.co/api/people/71/","",,,,,
"38304",":Character","","","","unknown","","","","","","2014-12-20T17:30:50.416000Z","","","","","2014-12-20T21:17:50.473000Z","","black","","male","","none","","229","","","","","","88","","","Lama Su","","","","","","","","grey","","","","Character","","","false","http://swapi.co/api/people/72/","",,,,,
"38305",":Character","","","","unknown","","","","","","2014-12-20T17:31:21.195000Z","","","","","2014-12-20T21:17:50.474000Z","","black","","female","","none","","213","","","","","","unknown","","","Taun We","","","","","","","","grey","","","","Character","","","false","http://swapi.co/api/people/73/","",,,,,
"38306",":Character","","","","unknown","","","","","","2014-12-20T17:32:51.996000Z","","","","","2014-12-20T21:17:50.476000Z","","blue","","female","","white","","167","","","","","","unknown","","","Jocasta Nu","","","","","","","","fair","","","","Character","","","false","http://swapi.co/api/people/74/","",,,,,
"38307",":Character","","","","unknown","","","","","","2014-12-20T09:53:15.086000Z","","","","","2016-06-30T12:52:19.604868Z","","unknown","","male","","none","","79","","","","","","15","","","Ratts Tyerell","","","","","","","","grey, blue","","","","Character","","","false","http://swapi.co/api/people/47/","",,,,,
"38308",":Character","","","","unknown","","","","","","2014-12-20T17:43:36.409000Z","","","","","2014-12-20T21:17:50.478000Z","","red, blue","","female","","none","","96","","","","","","unknown","","","R4-P17","","","","","","","","silver, red","","","","Character","","","false","http://swapi.co/api/people/75/","",,,,,
"38309",":Character","","","","unknown","","","","","","2014-12-20T17:53:52.607000Z","","","","","2014-12-20T21:17:50.481000Z","","unknown","","male","","none","","193","","","","","","48","","","Wat Tambor","","","","","","","","green, grey","","","","Character","","","false","http://swapi.co/api/people/76/","",,,,,
"38310",":Character","","","","unknown","","","","","","2014-12-20T17:58:17.049000Z","","","","","2014-12-20T21:17:50.484000Z","","gold","","male","","none","","191","","","","","","unknown","","","San Hill","","","","","","","","grey","","","","Character","","","false","http://swapi.co/api/people/77/","",,,,,
"38311",":Character","","","","unknown","","","","","","2014-12-20T18:44:01.103000Z","","","","","2014-12-20T21:17:50.486000Z","","black","","female","","none","","178","","","","","","57","","","Shaak Ti","","","","","","","","red, blue, white","","","","Character","","","false","http://swapi.co/api/people/78/","",,,,,
"38312",":Character","","","","unknown","","","","","","2014-12-20T19:43:53.348000Z","","","","","2014-12-20T21:17:50.488000Z","","green, yellow","","male","","none","","216","","","","","","159","","","Grievous","","","","","","","","brown, white","","","","Character","","","false","http://swapi.co/api/people/79/","",,,,,
"38313",":Character","","","","unknown","","","","","","2014-12-20T19:46:34.209000Z","","","","","2014-12-20T21:17:50.491000Z","","blue","","male","","brown","","234","","","","","","136","","","Tarfful","","","","","","","","brown","","","","Character","","","false","http://swapi.co/api/people/80/","",,,,,
"38314",":Character","","","","unknown","","","","","","2014-12-20T19:49:35.583000Z","","","","","2014-12-20T21:17:50.493000Z","","brown","","male","","brown","","188","","","","","","79","","","Raymus Antilles","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/81/","",,,,,
"38315",":Character","","","","unknown","","","","","","2014-12-20T20:18:37.619000Z","","","","","2014-12-20T21:17:50.496000Z","","white","","female","","none","","178","","","","","","48","","","Sly Moore","","","","","","","","pale","","","","Character","","","false","http://swapi.co/api/people/82/","",,,,,
"38316",":Character","","","","unknown","","","","","","2014-12-20T20:35:04.260000Z","","","","","2014-12-20T21:17:50.498000Z","","black","","male","","none","","206","","","","","","80","","","Tion Medon","","","","","","","","grey","","","","Character","","","false","http://swapi.co/api/people/83/","",,,,,
"38317",":Character","","","","unknown","","","","","","2015-04-17T06:52:40.793621Z","","","","","2015-04-17T06:52:40.793674Z","","dark","","male","","black","","unknown","","","","","","unknown","","","Finn","","","","","","","","dark","","","","Character","","","false","http://swapi.co/api/people/84/","",,,,,
"38318",":Character","","","","unknown","","","","","","2015-04-17T06:54:01.495077Z","","","","","2015-04-17T06:54:01.495128Z","","hazel","","female","","brown","","unknown","","","","","","unknown","","","Rey","","","","","","","","light","","","","Character","","","false","http://swapi.co/api/people/85/","",,,,,
